[2018-05-02T16:52:07+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 3448bd79d4; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-05-02T16:52:27+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 3448bd79d4; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-02T16:57:39+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 3448bd79d4; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-02T16:58:10+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 3448bd79d4; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-02T16:58:10+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 3448bd79d4; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-02T17:25:04+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-02T17:25:04+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-02T18:07:37+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-02T18:07:37+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-02T18:07:56+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-02T18:07:57+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-02T18:14:33+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-05-02T18:14:33+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-05-02T18:18:59+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-05-02T18:19:00+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-05-02T18:36:46+1200] DFHack 0.44.09-r1-0-gb6311ec6 on Windows; cwd md5: 93cb8fa98a; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
